ID,absolute_clone_path,local_clone_path,source
jitrc/eklavya-ros-pkg,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jitrc_____eklavya-ros-pkg,./cloned_repos/jitrc_____eklavya-ros-pkg,github
jnez71/lqRRT,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jnez71_____lqRRT,./cloned_repos/jnez71_____lqRRT,github
jsk-ros-pkg/jsk_common,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jsk-ros-pkg_____jsk_common,./cloned_repos/jsk-ros-pkg_____jsk_common,github
jsk-ros-pkg/jsk_control,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jsk-ros-pkg_____jsk_control,./cloned_repos/jsk-ros-pkg_____jsk_control,github
jsk-ros-pkg/jsk_planning,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jsk-ros-pkg_____jsk_planning,./cloned_repos/jsk-ros-pkg_____jsk_planning,github
jsk-ros-pkg/jsk_pr2eus,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jsk-ros-pkg_____jsk_pr2eus,./cloned_repos/jsk-ros-pkg_____jsk_pr2eus,github
jsk-ros-pkg/jsk_recognition,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jsk-ros-pkg_____jsk_recognition,./cloned_repos/jsk-ros-pkg_____jsk_recognition,github
jsk-ros-pkg/jsk_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jsk-ros-pkg_____jsk_robot,./cloned_repos/jsk-ros-pkg_____jsk_robot,github
jsk-ros-pkg/jsk_roseus,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jsk-ros-pkg_____jsk_roseus,./cloned_repos/jsk-ros-pkg_____jsk_roseus,github
jsk-ros-pkg/jsk_visualization,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jsk-ros-pkg_____jsk_visualization,./cloned_repos/jsk-ros-pkg_____jsk_visualization,github
